id,disp_name,opt_description
1,徐行,徐行操作命令。 OptValueには長さ(メートル)と制限速度をスペース区切りで設定する
2,エアセクション,エアセクション位置を設定する。 OptValueには長さ(メートル)を設定する
3,交直切換,交直切換位置を設定する。 OptValueには長さ(メートル)を設定する
