id,ch_name,ch_discription
1,D1,Digital 1
2,D2,Digital 2
3,D3,Digital 3
4,D4,Digital 4
5,D5,Digital 5
6,D6,Digital 6
7,D7,Digital 7
8,D8,Digital 8
9,D9,Digital 9
